Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Mar Lodge Peatland Restoration 2023,104000000029085,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029085,Scotland,Under Development,Unissued,National Trust for Scotland,Soil Association Certification Ltd,2025,2065,40,145.0,15382,13075,56.9806,-3.69633,9.06,0.0,0.0,135.94,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Aberarder 20,104000000028123,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028123,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,63.67,18685,15882,57.27269,-4.245,4.64,0.0,0.0,59.03,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Aberarder 22,104000000028503,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028503,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,55.49,12433,10568,57.27015,-4.256944,1.57,0.0,0.63,53.29,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Aberarder 23,104000000029000,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029000,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,82.42,24691,20987,57.269851,-4.273513,6.33,0.0,0.47,75.62,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Balavil 20,104000000028121,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028121,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,54.1,15826,13452,57.15834,-4.06561,3.64,0.27,0.0,50.19,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Balavil 22,104000000028504,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028504,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,58.804,18687,15884,57.163717,-4.07184,5.2,0.004,0.0,53.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Balavil 23,104000000029001,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029001,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,56.89,17325,14726,57.156344,-4.082998,4.55,0.0,0.0,52.34,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Braeroy 20,104000000028120,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028120,Scotland,Under Development,Unissued,Wildland Limited,Organic Farmers & Growers C.I.C.,2025,2110,85,49.95,13386,11378,56.98281,-4.64078,4.1,0.24,0.0,45.61,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Braeroy 21,104000000027894,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027894,Scotland,Under Development,Unissued,Wildland Limited,Organic Farmers & Growers C.I.C.,2025,2125,100,80.713,25722,21864,57.017054,-4.766011,6.646,0.543,0.0,73.524,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Braeroy 22,104000000028576,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028576,Scotland,Under Development,Unissued,Wildland Limited,N/A,2025,2125,100,100.04,28501,24226,57.02386,-4.75445,6.6,0.14,0.0,93.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Braeroy 23,104000000029012,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029012,Scotland,Under Development,Unissued,Wildland Limited,Organic Farmers & Growers C.I.C.,2025,2080,55,42.7,5152,4379,56.98005,-4.617895,1.08,0.0,0.0,41.62,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dalmigavie 21,104000000027756,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027756,Scotland,Validated,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,100.55,36119,30701,57.212464,-4.06248,10.09,1.48,0.74,88.24,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dalmigavie 22,104000000028505,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028505,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,91.105,20875,17744,57.20153,-4.067333,2.81,0.065,17.6,70.63,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dalmigavie 23,104000000029003,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029003,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2115,90,92.16,20115,17098,57.199516,-4.080463,3.7,0.0,1.08,87.38,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunachton 20,104000000028122,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028122,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,57.77,14369,12214,57.17235,-4.03212,2.55,0.0,0.0,55.22,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunachton 21,104000000027761,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027761,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,47.4,16990,14441,57.17094,-4.04675,3.59,1.84,0.0,41.97,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunachton 22,104000000028506,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028506,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,55.42,14304,12158,57.16563,-4.00909,2.66,0.12,0.0,52.64,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunmaglass 21,104000000027762,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027762,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,54.439,16524,14045,57.229524,-4.31429,4.014,0.305,0.0,50.12,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunmaglass 22,104000000028507,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028507,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,58.78,15687,13334,57.224931,-4.322104,3.16,0.12,0.61,54.89,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Dunmaglass 23,104000000029004,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029004,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2115,90,52.05,13799,11729,57.219301,-4.335,3.79,0.04,0.0,48.22,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Farr 20,104000000028124,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028124,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,258.53,51253,43565,57.326609,-4.10987,3.03,0.0,152.48,103.02,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Farr 21,104000000027763,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027763,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,73.43,22606,19215,57.343509,-4.086243,5.78,0.25,0.0,67.4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Farr 22,104000000028508,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028508,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,73.24,21591,18352,57.27904,-4.159605,5.15,0.25,0.0,67.84,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Glenmazeran 20,104000000028125,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028125,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2115,90,86.35,14395,12236,57.25731,-4.1598,0.29,0.0,52.33,33.73,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Glenmazeran 22,104000000028509,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028509,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,48.88,14217,12084,57.275515,-4.156081,3.1,0.38,0.0,45.4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Glenmazeran 23,104000000029005,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029005,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2115,90,62.29,20531,17451,57.278763,-4.176179,7.21,0.24,0.0,54.84,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Glenshero 22,104000000029006,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029006,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2075,50,95.91,15288,12995,57.008244,-4.514459,8.55,0.0,0.0,87.36,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Kinrara 21,104000000027764,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027764,Scotland,Validated,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,291.051,60177,51150,57.245421,-3.996945,4.464,0.537,176.6,109.45,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Kinrara 22,104000000028510,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028510,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2100,75,101.1,15225,12941,57.190679,-3.901228,1.3,0.05,46.98,52.77,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Kinrara 23,104000000029007,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029007,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2080,55,195.23,21374,18168,57.209873,-3.938643,1.05,1.34,84.39,108.45,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Pitmain 20,104000000028126,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028126,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2100,75,54.25,9414,8002,57.138547,-4.0877,1.29,0.5,0.98,51.48,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Pitmain 21,104000000027765,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027765,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2120,95,62.486,13772,11706,57.15623,-4.100618,1.266,0.821,0.0,60.399,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
MDMG Pitmain 22,104000000028511,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028511,Scotland,Under Development,Unissued,Strath Caulaidh Ltd,Organic Farmers & Growers C.I.C.,2025,2100,75,54.96,9125,7756,57.145296,-4.098907,1.2,0.26,0.0,53.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Middleton Common,104000000029304,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029304,England,Under Development,Unissued,Durham County Council (NPAP),N/A,2025,2125,100,27.14,7440,6324,54.687515,-2.088386,0.9,1.02,0.0,25.22,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Millerston Peatland Restoration,104000000029324,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029324,Scotland,Under Development,Unissued,Tilhill Forestry,Soil Association Certification Ltd,2025,2110,85,5.0,1148,976,55.884027,-4.179007,0.0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Mointeach Leacaidh,104000000028210,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028210,Scotland,Restoration Validated,Issued,Scottish Woodlands Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,149.908,46723,39715,57.646171,-5.195378,11.33,1.348,0.0,137.23,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Morsgail 1 [Coltraiseal Mor],104000000028512,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028512,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,126.852,24194,20565,58.092012,-6.844867,0.303,0.571,115.719,10.259,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Morsgail 2 [Griosamul],104000000028535,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028535,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2114,89,540.496,163178,138701,58.040548,-6.849759,54.544,0.727,16.153,469.072,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Mount Lothian Moss Peatland Restoration,104000000028587,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028587,Scotland,Under Development,Unissued,Glenrath Farms Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,52.0,9360,7956,55.787957,-3.188,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,0.0,0,0,0.0,0.0,0.0,0.0
Moy Crofts,104000000028573,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028573,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2125,100,63.65,16953,14410,56.92308,-5.031356,3.38,0.15,0.0,60.12,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Muckrach Peatland Phase 1,104000000028185,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028185,Scotland,Under Development,Unissued,Savills (UK) Ltd,Organic Farmers & Growers C.I.C.,2025,2090,65,32.45,5173,4397,57.335093,-3.711643,1.36,0.0,24.52,6.57,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Mullach a' Bhreun Leitir,104000000028282,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028282,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,145.371,47305,40209,57.901745,-4.882108,11.67,1.906,2.648,129.147,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Mullach a' Bhreun Leitir (East Rhidorroch),104000000028289,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028289,Scotland,Validated,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,95.598,31998,27198,57.967039,-4.733464,8.029,1.47,0.0,86.099,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
New House,104000000027003,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027003,England,Under Development,Unissued,Yorkshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2055,30,18.45,1459,1240,54.251644,-2.093587,18.45,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Northern Estates peatland restoration - Phase 1,104000000029016,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029016,Scotland,Under Development,Unissued,Wildland Limited,N/A,2025,2075,50,657.37,107132,91062,58.425665,-4.450341,39.16,0.0,576.36,41.85,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
NSM Kirklea,104000000029290,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029290,Scotland,Under Development,Unissued,Stanley Wright,N/A,2025,2085,60,74.11,12005,10204,55.447514,-3.949313,0.4,0.0,68.13,5.58,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ockerton Court North Phase 1,104000000028637,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028637,England,Under Development,Unissued,Duchy of Cornwall,N/A,2025,2055,30,97.56,9131,7761,50.666594,-3.988045,0.0,0.0,0.0,0.0,0.0,0,6.1,2.17,16.77,72.52,0,0,0.0,0.0,0.0,0.0
Oss Flats,104000000027482,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027482,Scotland,Under Development,Unissued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,126.75,32382,27525,56.358073,-4.745085,3.9,2.62,4.03,116.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Pennant,104000000028556,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028556,Wales,Under Development,Unissued,Snowdonia National Park Authority,Organic Farmers & Growers C.I.C.,2025,2060,35,34.18,4540,3859,52.775874,-3.658795,4.05,0.33,0.0,29.8,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Phase 2 Amair (N),104000000029156,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029156,Scotland,Under Development,Unissued,Ossian (Scotland) Limited,N/A,2025,2105,80,142.4,30807,26186,56.320103,-4.545036,8.86,0.72,0.0,132.82,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Phase 3 Loch na Lap (O),104000000029267,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029267,Scotland,Under Development,Unissued,Ossian (Scotland) Limited,N/A,2025,2125,100,182.33,53538,45508,56.800892,-4.633234,11.39,2.42,0.0,168.52,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Prison Farm Phase 1,104000000028130,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028130,England,Under Development,Unissued,Duchy of Cornwall,Organic Farmers & Growers C.I.C.,2025,2055,30,111.64,6659,5660,50.570017,-4.007983,1.35,0.0,78.32,31.97,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Quoich 2 [Alltbeithe],104000000028534,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028534,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2116,91,233.401,66187,56259,57.113198,-5.26331,17.534,1.867,20.58,193.42,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Quoich 3 [Gleouraich],104000000028533,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028533,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2104,79,150.555,32670,27770,57.079031,-5.228944,8.977,0.178,0.0,141.4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Red Lake Phase 1,104000000028129,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028129,England,Under Development,Unissued,Duchy of Cornwall,Organic Farmers & Growers C.I.C.,2025,2055,30,35.81,1934,1644,50.482652,-3.908423,0.0,0.0,35.81,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Rhiwargor,104000000027771,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027771,Wales,Validated,Unissued,Severn Trent Plc,Organic Farmers & Growers C.I.C.,2025,2055,30,296.036,16694,14190,52.807657,-3.569505,1.513,0.003,46.831,247.689,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Achadunan,104000000028514,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028514,Scotland,Under Development,Unissued,Ridge Carbon Capture,"SAC Consulting, SRUC",2025,2075,50,96.82,11995,10196,56.282,-4.8495,2.91,1.45,2.13,90.33,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Achlian,104000000028153,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028153,Scotland,Under Development,Unissued,Ridge Carbon Capture,Organic Farmers & Growers C.I.C.,2025,2125,100,170.54,37906,32220,56.353399,-4.985968,3.38,1.25,65.25,100.66,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Craigmuie,104000000028930,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028930,Scotland,Under Development,Unissued,Ridge Carbon Capture,Organic Farmers & Growers C.I.C.,2025,2125,100,45.14,12209,10378,55.142622,-3.962662,0.04,0.0,44.83,0.27,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Dell,104000000029056,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029056,Scotland,Under Development,Unissued,Ridge Carbon Capture,Organic Farmers & Growers C.I.C.,2025,2125,100,72.95,23991,20392,57.141889,-4.482196,5.02,3.8,0.0,64.13,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Graham 1,104000000028155,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028155,England,Validated,Issued,Ridge Carbon Capture,Organic Farmers & Growers C.I.C.,2023,2123,100,132.75,32225,27391,55.121719,-2.636572,2.18,3.17,1.41,125.99,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Graham 2,104000000028437,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028437,England,Under Development,Unissued,Ridge Carbon Capture,N/A,2025,2125,100,128.92,27176,23100,55.117283,-2.625526,1.53,0.09,0.0,127.3,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ridge Rottal,104000000029010,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029010,Scotland,Under Development,Unissued,Ridge Carbon Capture,Organic Farmers & Growers C.I.C.,2025,2075,50,66.78,9069,7709,56.838971,-3.009642,0.31,0.2,60.64,5.63,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Rothiemurchus Estate - peatland restoration - Phase 1,104000000029433,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029433,Scotland,Under Development,Unissued,Bidwells LLP,Soil Association Certification Ltd,2025,2075,50,71.02,8874,7543,57.106043,-3.791217,3.44,0.0,0.0,67.58,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Rottal Estate (Phase 1),104000000026991,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026991,Scotland,Restoration Validated,Issued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2020,2120,100,27.285,6462,5493,56.845219,-3.014728,0.786,0.209,11.69,14.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
RSPB Greylake Restoration Project,104000000029086,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029086,England,Under Development,Unissued,RSPB,Soil Association Certification Ltd,2025,2125,100,32.4,24007,20406,51.111054,-2.869907,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,25.72,6.68
RSPB Lakenheath Fen Restoration Project,104000000028985,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028985,England,Under Development,Unissued,RSPB,Soil Association Certification Ltd,2025,2055,30,7.0,3732,3172,52.446134,0.47052,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,7.0,0.0,0.0,0.0
Sandside North,104000000028382,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028382,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2110,85,100.7,21833,18558,58.508599,-3.779753,4.93,0.25,2.64,92.88,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Scaliscro Peatland Restoration,104000000028497,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028497,Scotland,Validated,Issued,Scaliscro,Organic Farmers & Growers C.I.C.,2023,2123,100,227.95,64059,54450,58.127044,-6.846231,12.78,2.01,65.44,147.72,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Scaliscro Peatland Restoration Phase 2,104000000029145,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029145,Scotland,Under Development,Unissued,Scaliscro,Organic Farmers & Growers C.I.C.,2025,2095,70,109.04,21471,18250,58.127044,-6.846231,4.24,3.88,4.53,96.39,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Score Head,104000000029061,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029061,Scotland,Under Development,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2115,90,53.45,12734,10825,55.465596,-2.1866,3.05,0.23,0.53,49.64,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Smithills Moor,104000000028064,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028064,England,Under Development,Unissued,Woodland Trust,Soil Association Certification Ltd,2025,2125,100,140.33,96784,82266,53.621,-2.517,18.56,27.38,58.41,35.98,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Snailsden,104000000028697,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028697,England,Under Development,Unissued,Forest Carbon Ltd,N/A,2025,2125,100,327.179,71121,60453,53.527991,-1.797821,7.854,0.0,0.0,319.325,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Snaizeholme Peat,104000000028994,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028994,England,Under Development,Unissued,Woodland Trust,N/A,2025,2085,60,61.41,8123,6905,54.258,-2.271,0.06,0.48,11.6,49.27,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
South Stainmore,104000000029106,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029106,England,Under Development,Unissued,Durham County Council (NPAP),N/A,2025,2125,100,144.4,40674,34573,54.487899,-2.185202,7.3,2.42,22.13,112.55,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
