Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Bighouse Phase 6,104000000028975,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028975,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,190.4,34739,29528,58.453829,-4.020358,0.3,0.0,186.9,3.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 7,104000000028976,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028976,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,184.25,33227,28243,58.442881,-3.973469,0.04,0.0,184.08,0.13,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 8,104000000029019,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029019,Scotland,Under Development,Unissued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,216.45,39957,33963,58.443636,-3.923821,0.64,0.0,204.78,11.03,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bighouse Phase 9,104000000029045,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029045,Scotland,Under Development,Unissued,Land Carbon Ltd,N/A,2025,2095,70,136.198,26168,22243,58.44536,-3.86737,0.544,0.0,119.072,16.582,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bile Buidhe Phase 1,104000000029052,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029052,Scotland,Under Development,Unissued,RSPB,Soil Association Certification Ltd,2025,2070,45,111.16,16338,13887,57.18,-3.538,0.0,0.0,0.0,97.95,0.0,0,12.23,0.98,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Birkdale,104000000029104,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029104,England,Under Development,Unissued,Durham County Council (NPAP),N/A,2025,2100,75,123.56,32627,27733,,,9.45,8.08,0.59,105.44,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Birks Fell and Moor End,104000000028782,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028782,England,Under Development,Unissued,Yorkshire Wildlife Trust,Soil Association Certification Ltd,2025,2055,30,50.32,3283,2708,54.173444,-2.105666,0.05,1.16,10.18,38.93,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Blackburn of Corrieyairack,104000000028381,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028381,Scotland,Restoration Validated,Issued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2022,2122,100,224.08,60184,51156,57.084735,-4.724306,0.47,0.0,212.69,10.92,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Black Hill Phase 1,104000000028127,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028127,England,Under Development,Unissued,Duchy of Cornwall,Organic Farmers & Growers C.I.C.,2025,2055,30,40.52,4729,4020,,,3.76,1.68,0.0,35.08,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Blackmount estate – peatland restoration – Phase 1,104000000028574,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028574,Scotland,Under Development,Unissued,Bidwells LLP,Soil Association Certification Ltd,2025,2125,100,126.54,26489,22516,56.564674,-4.79097,1.42,0.0,0.0,125.12,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Blackmount estate – peatland restoration – Phase 2,104000000028575,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028575,Scotland,Under Development,Unissued,Bidwells LLP,Soil Association Certification Ltd,2025,2120,95,99.32,20844,17717,56.639912,-4.842201,2.17,0.0,0.0,97.15,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Blaen y Coed,104000000027002,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027002,Wales,Validated,Issued,National Trust,Organic Farmers & Growers C.I.C.,2022,2057,35,177.46,8724,7415,52.993323,-3.790789,2.81,0.39,61.77,45.82,66.67,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Braemore 3 [Mointeach a' Bhraighe],104000000028438,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028438,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2117,92,238.009,50560,42977,57.801502,-5.018876,7.259,0.328,0.0,230.422,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Bwlch y Groes,104000000026994,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026994,Wales,Validated,Issued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2021,2056,35,65.77,2747,2335,52.791804,-3.611943,0.77,0.26,0.0,33.66,31.08,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Camm Farm - peatland restoration - Phase 3,104000000028967,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028967,England,Validated,Unissued,Bidwells LLP,Soil Association Certification Ltd,2025,2110,85,151.55,35234,29949,54.228044,-2.254595,1.71,0.09,131.98,17.77,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Carrick Peatland,104000000027148,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027148,Scotland,Under Development,Unissued,Pelham Olive,Organic Farmers & Growers C.I.C.,2025,2125,100,114.62,21597,18357,56.110136,-4.971914,0.47,0.15,100.0,14.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Carroglen,104000000028256,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028256,Scotland,Restoration Validated,Issued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2022,2122,100,59.81,14347,12195,56.427482,-3.979719,2.21,0.09,19.28,38.23,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Cashel,104000000028693,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028693,Scotland,Under Development,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2125,100,145.54,37376,31770,56.1385,-4.547504,4.46,2.72,26.09,112.27,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ceannacroc (Phase 1),104000000026983,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026983,Scotland,Validated,Issued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,47.58,16490,14016,57.211031,-5.054944,3.73,1.36,0.0,42.49,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
